Latitude, Longitude, Altitude, Timestamp
31.7720947265625, 35.21342336506549, 780.7251305554155, 2019-11-12 17:28:14 +0000
31.77213033744454, 35.21356758730176, 780.4259033203125, 2019-11-12 17:28:59 +0000
31.77213033744454, 35.21356758730176, 780.4259033203125, 2019-11-12 17:28:59 +0000
31.772138756191293, 35.21351656841313, 780.2929077148438, 2019-11-12 17:29:07 +0000
31.7721930889375, 35.21346390302527, 779.7369426262295, 2019-11-12 17:29:15 +0000
31.7721930889375, 35.21346390302527, 779.7369426262295, 2019-11-12 17:29:20 +0000
31.7721930889375, 35.21346390302527, 779.7369426262295, 2019-11-12 17:29:21 +0000
31.7721930889375, 35.21346390302527, 779.7369426262295, 2019-11-12 17:29:21 +0000
31.7721930889375, 35.21346390302527, 779.7369426262295, 2019-11-12 17:29:21 +0000
31.7721930889375, 35.21346390302527, 779.7369426262295, 2019-11-12 17:29:21 +0000
31.7721930889375, 35.21346390302527, 779.7369426262295, 2019-11-12 17:29:21 +0000
31.7721930889375, 35.21346390302527, 779.7369426262295, 2019-11-12 17:29:21 +0000
31.7721930889375, 35.21346390302527, 779.7369426262295, 2019-11-12 17:29:21 +0000
31.7721930889375, 35.21346390302527, 779.7369426262295, 2019-11-12 17:29:21 +0000
31.772224251084594, 35.21343148058747, 779.3636940877122, 2019-11-12 17:31:18 +0000
31.772224251084594, 35.21343148058747, 779.3636940877122, 2019-11-12 17:31:23 +0000
31.772224251084594, 35.21343148058747, 779.3636940877122, 2019-11-12 17:31:28 +0000
31.772224251084594, 35.21343148058747, 779.3636940877122, 2019-11-12 17:31:33 +0000
31.772224251084594, 35.21343148058747, 779.3636940877122, 2019-11-12 17:31:38 +0000
31.772224251084594, 35.21343148058747, 779.3636940877122, 2019-11-12 17:31:43 +0000
31.772224251084594, 35.21343148058747, 779.3636940877122, 2019-11-12 17:31:48 +0000
31.772224251084594, 35.21343148058747, 779.3636940877122, 2019-11-12 17:31:51 +0000
31.772225157704472, 35.21343634465669, 789.776158459751, 2019-11-12 17:31:58 +0000
31.772225157704472, 35.21343634465669, 789.776158459751, 2019-11-12 17:31:58 +0000
31.77217178643557, 35.213425450324586, 782.7630315667919, 2019-11-12 17:41:25 +0000
31.772192953998992, 35.21339043357767, 782.4496337054882, 2019-11-12 17:41:30 +0000
31.77221101469708, 35.21336618077468, 782.2461272396004, 2019-11-12 17:41:35 +0000
31.772199574718424, 35.21334083523596, 782.0429195362007, 2019-11-12 17:41:40 +0000
31.772194462668406, 35.21334356230155, 782.051330911106, 2019-11-12 17:41:45 +0000
31.772179623503114, 35.213341141417494, 782.0546799246632, 2019-11-12 17:41:50 +0000
31.772154300731525, 35.21337711002999, 782.2531250857168, 2019-11-12 17:41:55 +0000
31.772090772044123, 35.21341992070463, 782.6262206512071, 2019-11-12 18:15:53 +0000
31.772102396598914, 35.213403938392815, 782.5127027212901, 2019-11-12 18:15:58 +0000
31.77212608298975, 35.21339145687058, 782.4787684495141, 2019-11-12 18:16:03 +0000
31.77211916507325, 35.213392402566875, 782.3928025645171, 2019-11-12 18:16:08 +0000
31.772093981595518, 35.21339233243065, 782.4168179609618, 2019-11-12 18:16:13 +0000
31.772037904415555, 35.213396797955944, 782.4515182493335, 2019-11-12 18:16:18 +0000
31.771995491753167, 35.21339510602242, 782.4490455079574, 2019-11-12 18:16:23 +0000
31.771964386065687, 35.21338587349692, 782.4028308457789, 2019-11-12 18:16:28 +0000
31.771954820130585, 35.21339112330755, 782.377243219936, 2019-11-12 18:16:33 +0000
31.771946963232192, 35.213390688522985, 782.41419055134, 2019-11-12 18:16:38 +0000
31.7719404991072, 35.21338991514557, 782.4225458420779, 2019-11-12 18:16:43 +0000
31.771954669568764, 35.213390530967075, 782.4244105527061, 2019-11-12 18:16:48 +0000
31.771970291218825, 35.21338615892344, 782.3771229761384, 2019-11-12 18:16:53 +0000
31.771983598797103, 35.21338851701754, 782.4072954866609, 2019-11-12 18:16:58 +0000
31.77198546690712, 35.21338216216786, 782.3656155765941, 2019-11-12 18:17:03 +0000
31.772001113437792, 35.213374710132015, 782.3179468608448, 2019-11-12 18:17:08 +0000
31.771995291535923, 35.21336552723265, 782.255145714602, 2019-11-12 18:17:13 +0000
31.771978133572865, 35.21334380990586, 782.0884794896667, 2019-11-12 18:17:18 +0000
31.77198219471264, 35.213344173536875, 782.0734461530826, 2019-11-12 18:17:23 +0000
31.771984439031613, 35.213346712386574, 782.0882870763576, 2019-11-12 18:17:28 +0000
31.771962241002136, 35.213321972507224, 781.9535650195667, 2019-11-12 18:17:33 +0000
31.771986495306283, 35.213351030912214, 782.1132644920482, 2019-11-12 18:17:38 +0000
31.771978275840944, 35.2133445690432, 782.0674450917285, 2019-11-12 18:17:43 +0000
31.77194736845437, 35.21335347875541, 782.1308897391252, 2019-11-12 18:17:48 +0000
31.77192329232109, 35.213357680057385, 782.160014420813, 2019-11-12 18:17:53 +0000
31.771952869743483, 35.21334675542246, 782.1062562834715, 2019-11-12 18:17:58 +0000
31.774687364275415, 35.215011277532035, 800.6276517153811, 2019-11-13 07:28:29 +0000
31.774623509763238, 35.21455271380969, 800.2354551922657, 2019-11-13 07:28:34 +0000
31.774594967695055, 35.214368857789495, 799.8951265040652, 2019-11-13 07:28:39 +0000
31.774588193152972, 35.21433045040494, 799.6775124593088, 2019-11-13 07:28:45 +0000
31.774586459820092, 35.214320623499766, 799.6567570287639, 2019-11-13 07:28:50 +0000
31.7745735405755, 35.214252984414316, 799.6296262761656, 2019-11-13 07:28:55 +0000
31.77456804703853, 35.21421740732983, 799.5621024172116, 2019-11-13 07:29:00 +0000
31.774577666934054, 35.21406888772655, 799.4978195770559, 2019-11-13 07:29:05 +0000
31.774820033154583, 35.213986941759806, 800.3709898265615, 2019-11-13 07:29:10 +0000
31.775142276079684, 35.21387980854409, 802.4524064757445, 2019-11-13 07:29:15 +0000
31.775572495994158, 35.213730056534295, 804.7519315965516, 2019-11-13 07:29:20 +0000
31.775749285122338, 35.21366943131707, 806.3980982679502, 2019-11-13 07:29:25 +0000
31.775799744609962, 35.213652127552805, 806.7878427777127, 2019-11-13 07:29:30 +0000
31.77593359626094, 35.213603008689105, 807.116527751818, 2019-11-13 07:29:35 +0000
31.776186357532662, 35.21347514345469, 808.3971023393269, 2019-11-13 07:29:40 +0000
31.77647913670145, 35.21330508209195, 809.0623720023725, 2019-11-13 07:29:45 +0000
31.776834590407, 35.21307746015946, 810.2080267062166, 2019-11-13 07:29:50 +0000
31.77680153583566, 35.21313182016531, 810.8303737706739, 2019-11-13 07:29:55 +0000
31.776746800443746, 35.21316094737949, 811.0257817714883, 2019-11-13 07:30:00 +0000
31.776835858942714, 35.21293719246944, 810.7310684478583, 2019-11-13 07:30:05 +0000
